monitor_point_code,monitor_point_name,province_name,city_name,county_name,monitor_point_type,scale,warning_level,longitude,latitude,threaten_population,threaten_residents,threaten_assets,avg_slope,lithology,induce_factors,current_status,is_hidden_danger
622927010202,积石山县吹麻滩镇庙山公园滑坡,甘肃省,临夏回族自治州,积石山保安族东乡族撒拉族自治县,滑坡,未分级,未定级,102.869525,35.712547,46.0,0.0,135.0,,,降雨,,0
622927010215,石塬乡肖红坪村六社滑坡,甘肃省,临夏回族自治州,积石山保安族东乡族撒拉族自治县,滑坡,未分级,红色,102.807611,35.74445,55.0,0.0,200.0,,,降雨,,0
622927010229,胡林家乡胡林家村林家社滑坡,甘肃省,临夏回族自治州,积石山保安族东乡族撒拉族自治县,滑坡,未分级,蓝色,102.898472,35.708556,56.0,0.0,280.0,,,"地震,降雨",,0
622927010231,柳沟乡樊家沟村许家社许家滑坡,甘肃省,临夏回族自治州,积石山保安族东乡族撒拉族自治县,滑坡,未分级,蓝色,102.876667,35.783056,100.0,0.0,520.0,,,"地震,降雨",,0
622927010232,胡林家乡高关村毛家社滑坡,甘肃省,临夏回族自治州,积石山保安族东乡族撒拉族自治县,滑坡,未分级,未定级,102.913819,35.727222,50.0,0.0,240.0,,,"降雨,地震",,0
622927010233,柳沟乡樊家沟村七社滑坡,甘肃省,临夏回族自治州,积石山保安族东乡族撒拉族自治县,滑坡,未分级,未定级,102.883056,35.789167,25.0,0.0,135.0,,,"地震,降雨",,0
622927010234,关家川乡芦家庄村山庄社滑坡,甘肃省,临夏回族自治州,积石山保安族东乡族撒拉族自治县,滑坡,未分级,蓝色,102.956811,35.816878,90.0,0.0,400.0,,,降雨,,0
622927010235,中咀岭乡庙岭村三社滑坡,甘肃省,临夏回族自治州,积石山保安族东乡族撒拉族自治县,滑坡,未分级,蓝色,102.909725,35.632528,43.0,0.0,200.0,,,降雨,,0
622927010236,郭干乡郭干村三社滑坡,甘肃省,临夏回族自治州,积石山保安族东乡族撒拉族自治县,滑坡,未分级,未定级,102.989325,35.652331,30.0,0.0,120.0,,,降雨,,0
622927010237,银川乡工匠村阳洼白社滑坡,甘肃省,临夏回族自治州,积石山保安族东乡族撒拉族自治县,滑坡,未分级,未定级,103.077833,35.653525,45.0,0.0,400.0,,,降雨,,0
622927010238,居集镇甘藏村三社崩塌2,甘肃省,临夏回族自治州,积石山保安族东乡族撒拉族自治县,崩塌,未分级,红色,102.90725,35.649756,42.0,0.0,200.0,,,降雨,,0
622927020033,癿藏镇杨家岭村三社崩塌,甘肃省,临夏回族自治州,积石山保安族东乡族撒拉族自治县,崩塌,未分级,橙色,102.970486,35.595442,17.0,0.0,95.0,,,降雨,,0
622927020047,铺川乡张吧咀村咀头社斜坡,甘肃省,临夏回族自治州,积石山保安族东乡族撒拉族自治县,滑坡,未分级,未定级,103.037222,35.643888,50.0,0.0,496.0,,,"降雨,地震",,0
622927030016,石塬乡三二家村石家河泥石流,甘肃省,临夏回族自治州,积石山保安族东乡族撒拉族自治县,泥石流,未分级,未定级,102.892222,35.837778,400.0,80.0,10000.0,,,暴雨/强降雨,,0
622927030020,小关乡小关村四社泥石流 ,甘肃省,临夏回族自治州,积石山保安族东乡族撒拉族自治县,泥石流,未分级,未定级,102.88768,35.584385,310.0,0.0,1500.0,,,降雨,,0
622927030028,大河家镇韩陕家村孙家沟泥石流,甘肃省,临夏回族自治州,积石山保安族东乡族撒拉族自治县,泥石流,未分级,未定级,102.819825,35.837081,26.0,0.0,65.0,,,降雨,,0
622927030029,大河家镇韩陕家村窝狼沟泥石流,甘肃省,临夏回族自治州,积石山保安族东乡族撒拉族自治县,泥石流,未分级,未定级,102.840617,35.839197,17.0,0.0,90.0,,,降雨,,0
623001000021,伊合昂格勒央宗西侧不稳定斜坡,甘肃省,甘南藏族自治州,合作市,崩塌,小,未定级,102.905519,34.985507,30.0,6.0,210.0,,,"地震,降雨,人为因素",,0
623001010018,西土房1-5#北侧滑坡,甘肃省,甘南藏族自治州,合作市,滑坡,小,未定级,103.021111,35.241389,95.0,22.0,500.0,,,降雨,,0
623021000038,慈云寺西侧不稳定斜坡,甘肃省,甘南藏族自治州,临潭县,滑坡,中,未定级,103.358333,34.686667,126.0,27.0,700.0,,,"地震,降雨,人为因素",,0
623021000041,庙花山村1号,甘肃省,甘南藏族自治州,临潭县,崩塌,中,未定级,103.651111,35.038889,23.0,7.0,300.0,,,"降雨,地震",,0
623021000053,上河滩村西山坡不稳定斜坡,甘肃省,甘南藏族自治州,临潭县,崩塌,中,未定级,103.344444,34.695278,14.0,4.0,20.0,,,降雨,,0
623021000054,青崖不稳定斜坡,甘肃省,甘南藏族自治州,临潭县,滑坡,小,红色,103.360031,34.679534,20.0,5.0,100.0,,,降雨,,0
623021000062,峡里不稳定斜坡,甘肃省,甘南藏族自治州,临潭县,滑坡,小,未定级,103.675322,34.96005,15.0,4.0,150.0,,,"地震,降雨,人为因素",,0
623021000068,庙花山村2号,甘肃省,甘南藏族自治州,临潭县,崩塌,小,蓝色,103.6509,35.0399,14.0,6.0,20.0,,,降雨,,0
623021000070,后池易地搬迁安置点不稳定斜波,甘肃省,甘南藏族自治州,临潭县,崩塌,中,蓝色,103.580278,34.6875,33.0,10.0,230.0,,,降雨,,0
623021010043,南门河村,甘肃省,甘南藏族自治州,临潭县,滑坡,中,蓝色,103.580278,34.671944,40.0,9.0,300.0,,,"地震,降雨",,0
623021010046,牙布山村,甘肃省,甘南藏族自治州,临潭县,滑坡,未分级,蓝色,103.757736,34.974095,30.0,0.0,180.0,,,"地震,降雨",,0
623021010048,古战山村滑坡,甘肃省,甘南藏族自治州,临潭县,滑坡,中,蓝色,103.321111,34.718056,45.0,10.0,270.0,,,"地震,降雨",,0
623021010051,甘尼村滑坡,甘肃省,甘南藏族自治州,临潭县,滑坡,中,蓝色,103.326701,34.669982,20.0,4.0,1200.0,,,降雨,,0
623021010053,江红坡滑坡,甘肃省,甘南藏族自治州,临潭县,滑坡,中,黄色,103.350753,34.681467,20.0,5.0,120.0,,,"地震,降雨,人为因素",,0
623021010055,苏家庄子滑坡,甘肃省,甘南藏族自治州,临潭县,滑坡,中,未定级,103.381944,34.693333,15.0,4.0,90.0,,,"地震,降雨",,0
623021010058,洪家庄沟滑坡,甘肃省,甘南藏族自治州,临潭县,滑坡,大,黄色,103.635,34.970278,5.0,1.0,20.0,,,"地震,降雨",,0
623021010062,左拉村滑坡,甘肃省,甘南藏族自治州,临潭县,滑坡,中,蓝色,103.366111,34.710278,15.0,4.0,90.0,,,"地震,降雨",,0
623021010063,拉尕城滑坡,甘肃省,甘南藏族自治州,临潭县,滑坡,未分级,红色,103.753259,34.797235,47.0,0.0,120.0,,,地震,,0
623021010066,秋峪山滑坡,甘肃省,甘南藏族自治州,临潭县,滑坡,大,蓝色,103.781944,34.901389,200.0,36.0,860.0,,,降雨,,0
623021010067,坟泉社滑坡,甘肃省,甘南藏族自治州,临潭县,滑坡,中,未定级,103.674444,34.955556,135.0,33.0,300.0,,,降雨,,0
623021010068,上庙社滑坡,甘肃省,甘南藏族自治州,临潭县,滑坡,中,红色,103.643724,35.037769,15.0,3.0,90.0,,,"地震,降雨",,0
623021010069,韩家山滑坡,甘肃省,甘南藏族自治州,临潭县,滑坡,中,未定级,103.762937,34.787515,42.0,15.0,200.0,,,"地震,降雨",,0
623021010073,木地坡村尼什社滑坡,甘肃省,甘南藏族自治州,临潭县,滑坡,大,橙色,103.44275,34.726278,120.0,33.0,600.0,,,"地震,降雨",,0
623021010081,东街村凤凰山,甘肃省,甘南藏族自治州,临潭县,滑坡,小,未定级,103.595071,34.672705,20.0,6.0,240.0,,,降雨,,0
623021010084,上马牌西北侧滑破,甘肃省,甘南藏族自治州,临潭县,滑坡,中,蓝色,103.461058,34.72413,385.0,95.0,1460.0,,,降雨,,0
623021010087,莫多社滑坡,甘肃省,甘南藏族自治州,临潭县,滑坡,大,未定级,103.472726,34.668625,157.0,32.0,260.0,,,"地震,降雨",,0
623021010088,红山社滑坡,甘肃省,甘南藏族自治州,临潭县,滑坡,未分级,蓝色,103.542622,34.695503,156.0,0.0,560.0,,,降雨,,0
623021010089,路毛湾社滑坡,甘肃省,甘南藏族自治州,临潭县,滑坡,中,蓝色,103.53436,34.705983,85.0,15.0,160.0,,,地震,,0
623021010090,拉直村四社,甘肃省,甘南藏族自治州,临潭县,滑坡,未分级,蓝色,103.267222,34.681667,545.0,0.0,220.0,,,降雨,,0
623021010092,红花山滑坡,甘肃省,甘南藏族自治州,临潭县,滑坡,中,红色,103.571119,34.670561,30.0,3.0,3000.0,,,"地震,降雨,人为因素",,0
623021010093,车尼山滑坡,甘肃省,甘南藏族自治州,临潭县,滑坡,中,蓝色,103.733303,34.515387,89.0,18.0,162.0,,,"地震,降雨",,0
623021010095,湾里社滑坡,甘肃省,甘南藏族自治州,临潭县,滑坡,中,未定级,103.801739,34.565761,60.0,12.0,150.0,,,"地震,降雨",,0
623021010098,石门乡罗卜沟村滑坡,甘肃省,甘南藏族自治州,临潭县,滑坡,小,未定级,103.684119,34.70083,15.0,3.0,20.0,,,"地震,降雨,人为因素",,0
623021010099,拉布村滑坡,甘肃省,甘南藏族自治州,临潭县,滑坡,中,未定级,103.451611,34.660972,15.0,3.0,170.0,,,"地震,降雨,人为因素",,0
623021010100,大沟社滑坡,甘肃省,甘南藏族自治州,临潭县,滑坡,中,未定级,103.667194,34.730833,126.0,32.0,600.0,,,"降雨,地震,人为因素",,0
623021010101,新塘湾村滑坡,甘肃省,甘南藏族自治州,临潭县,滑坡,小,蓝色,103.748264,34.584931,28.0,7.0,100.0,,,"降雨,地震,人为因素",,0
623021020037,陈旗乡王旗村上磨沟西山崩塌,甘肃省,甘南藏族自治州,临潭县,崩塌,大,红色,103.855628,34.676519,10.0,2.0,75.0,,,"降雨,地震",,0
623021020045,新塘湾崩塌,甘肃省,甘南藏族自治州,临潭县,崩塌,小,未定级,103.73961,34.576717,25.0,5.0,80.0,,,"降雨,人为因素,地震",,0
623022000023,尕那山不稳定斜坡,甘肃省,甘南藏族自治州,卓尼县,崩塌,未分级,未定级,103.499385,34.593137,20.0,0.0,150.0,,,"降雨,人为因素",,0
