cluster_id,member_count,monitor_point_codes
183,3,623024010085;__623024020818;__623024020819
184,3,__630103011014;__630103011015;__630103031012
185,3,__630121012303;__630121012304;__630121022167
186,3,630122010213;__630122001018;__630122021521
189,3,__630123011110;__630123011111;__630123011112
190,3,632123010193;632123030209;__632123000263
191,3,632221010023;__632221010028;__632221030060
192,3,__632723010008;__632723030059;__632723030062
194,3,__640422010190;__640422010192;__640422010840
195,3,__640422010463;__640422010464;__640422010469
196,3,__640422000014;__640422010801;__640422010899
197,3,____621126010003;621126010204;621126010234
198,3,420321010069;420321010683;420321010684
199,3,420321010821;420321010822;420321011000
202,3,420321010832;420321010833;420321010834
203,3,420321000201;420321010325;420321010836
204,3,420322000026;420322010504;420322010732
205,3,420322000197;420322000413;420322000414
206,3,420322000216;420322000425;420322010031
207,3,420322000018;420322000311;420322010026
208,3,420322010101;420322010541;420322020002
209,3,420321000215;420322010128;420322010551
210,3,420322010279;420322010280;420322010281
211,3,420322010348;420322010659;420322010660
214,3,420322000440;420322000441;420322010692
215,3,420322010678;420322010679;420322010729
216,3,420322000432;420322010387;420322010730
217,3,420322010736;420322011200;420322011278
218,3,420323010145;420323010146;420323010161
219,3,420323010245;420323010246;420323010247
224,3,420323010569;420323011134;420323011135
225,3,420323010633;420323011164;420323011165
227,3,420323010491;420323010524;420323011095
229,3,420324000027;420324000210;420324010268
230,3,420324000118;420324010045;420324010152
231,3,420324000291;420324010051;420324010272
234,3,420324010058;420324010059;420324010060
235,3,420324010339;420324010340;420324010341
239,3,610122010106;610122020038;610122020039
240,3,610122010111;610122020035;610122030004
241,3,610202010006;610202010018;610202010019
242,3,610202010015;610202010016;610202020002
243,3,610202010029;610202020008;610202020011
244,3,610303010003;610303010004;610303010034
246,3,610303010012;610303010089;610303010090
249,3,610303010054;610303010055;610303010056
250,3,610303010099;610303010110;610303010112
251,3,610304010030;610304010036;610304010037
252,3,610324010007;610324010008;610324020010
253,3,610429020004;610429020005;610429020010
255,3,610602010039;610602010041;610602020004
256,3,610602010038;610602020052;610602020111
257,3,610622010014;610622010015;610622010019
258,3,610623010062;610623010063;610623020042
259,3,610626010016;610626010017;610626010018
260,3,610632020058;610632020100;610632020101
261,3,610722010087;610722010089;610722010092
262,3,610725010044;610725010115;610725010117
263,3,610727010290;610727010291;610727010467
264,3,610727010353;610727010356;610727010628
266,3,610729010010;610729010011;610729030003
268,3,610827010064;610827010065;610827020036
269,3,610828010023;610828010024;610828020054
271,3,610830010028;610830020093;610830020130
272,3,610830020053;610830020054;610830020064
273,3,610830020107;610830020121;610830020122
274,3,610831010123;610831020127;610831020128
275,3,610902010273;610902010427;610902010981
276,3,610902010655;610902010662;610902010663
277,3,610902010693;610902010978;610902010980
278,3,610922010115;610922010164;610922010165
282,3,610924010132;610924010495;610924010507
283,3,610924010140;610924010141;610924010458
284,3,610924010144;610924010145;610924010146
286,3,610924010304;610924010305;610924010315
287,3,610924010328;610924010329;610924011081
289,3,610924010347;610924010348;610924010349
291,3,__6109241120091101;610924010397;610924010556
293,3,610924010231;610924010481;610924010774
294,3,610924010486;610924010489;610924010668
295,3,610924010523;610924010524;610924010592
296,3,610925010007;610925010106;610925010111
298,3,610925010075;610925010077;610925010083
299,3,610925010066;610925010079;610925010082
300,3,610925010114;610925010117;610925010118
303,3,610925010202;610925010267;610925010271
304,3,610927010044;610927010049;610927010061
305,3,610927010109;610927010110;610927030019
307,3,610928010369;610928010379;610928010386
308,3,__6109291100060001;610929010133;610929010134
309,3,611002010042;611002010043;611002010044
312,3,611024010374;611024010375;611024010414
313,3,611025010068;611025010227;6110251080001203
314,3,__62010201045301;__62010201053301;620102000863
315,3,620102000902;620102000903;620102000904
316,3,__62010201029001;__62010201033501;620102000914
317,3,__620102010482;620102010054;620102010055
318,3,620103000152;620103010059;620103030046
319,3,620111000087;620111000088;620111000089
320,3,620103000248;620103010084;620122030007
321,3,620123000168;620123000371;620123000383
